adduser	3.134
libcap2:arm64	1:2.66-4+deb12u3+b1
libcolord2:arm64	1.4.6-2.2
libcom-err2:arm64	1.47.0-2+b2
libcrypt-dev:arm64	1:4.4.33-2
libcrypt1:arm64	1:4.4.33-2
libcryptsetup12:arm64	2:2.6.1-4~deb12u2
libcups2:arm64	2.4.2-3+deb12u9
libdatrie1:arm64	0.2.13-2+b1
libdav1d6:arm64	1.0.0-2+deb12u1
libdb5.3:arm64	5.3.28+dfsg2-1
libdbus-1-3:arm64	1.14.10-1~deb12u1
libdconf1:arm64	0.40.0-4
libde265-0:arm64	1.0.11-1+deb12u2
libdebconfclient0:arm64	0.270
libdeflate0:arm64	1.14-1
libdevmapper1.02.1:arm64	2:1.02.185-2
libdouble-conversion3:arm64	3.2.1-1
libdrm-amdgpu1:arm64	2.4.114-1+b1
libdrm-common	2.4.114-1
libdrm-nouveau2:arm64	2.4.114-1+b1
libdrm-radeon1:arm64	2.4.114-1+b1
libdrm2:arm64	2.4.114-1+b1
libedit2:arm64	3.1-20221030-2
libelf1:arm64	0.188-2.1
libepoxy0:arm64	1.5.10-1
libexpat1:arm64	2.5.0-1+deb12u3
libexpat1-dev:arm64	2.5.0-1+deb12u3
libext2fs2:arm64	1.47.0-2+b2
libfdisk1:arm64	2.38.1-5+deb12u3
libffi8:arm64	3.4.4-1
libflac12:arm64	1.4.2+ds-2
libfontconfig1:arm64	2.14.1-4
libfontenc1:arm64	1:1.1.4-1
libfreetype6:arm64	2.12.1+dfsg-5+deb12u4
libfribidi0:arm64	1.0.8-2.1
libgbm1:arm64	22.3.6-1+deb12u2
libgcc-s1:arm64	12.2.0-14+deb12u1
libgcrypt20:arm64	1.10.1-3+deb12u1
libgdbm-compat4:arm64	1.23-3
libgdbm6:arm64	1.23-3
libgdk-pixbuf-2.0-0:arm64	2.42.10+dfsg-1+deb12u4
libgdk-pixbuf2.0-common	2.42.10+dfsg-1+deb12u4
libgfortran5:arm64	12.2.0-14+deb12u1
libgif7:arm64	5.2.1-2.5+deb12u1
libgl1:arm64	1.6.0-1
libgl1-mesa-dri:arm64	22.3.6-1+deb12u2
libglapi-mesa:arm64	22.3.6-1+deb12u2
libglib2.0-0:arm64	2.74.6-2+deb12u9
libglvnd0:arm64	1.6.0-1
libglx-mesa0:arm64	22.3.6-1+deb12u2
libglx0:arm64	1.6.0-1
libgmp10:arm64	2:6.2.1+dfsg1-1.1
libgnutls30:arm64	3.7.9-2+deb12u7
libgomp1:arm64	12.2.0-14+deb12u1
libgpg-error0:arm64	1.46-1
libgraphite2-3:arm64	1.3.14-1+deb12u1
libgs-common	10.0.0~dfsg-11+deb12u8
libgs10:arm64	10.0.0~dfsg-11+deb12u8
libgs10-common	10.0.0~dfsg-11+deb12u8
libgssapi-krb5-2:arm64	1.20.1-2+deb12u5
libgtk-3-0:arm64	3.24.38-2~deb12u3
libgtk-3-common	3.24.38-2~deb12u3
libharfbuzz-subset0:arm64	6.0.0+dfsg-3
libharfbuzz0b:arm64	6.0.0+dfsg-3
libheif1:arm64	1.15.1-1+deb12u1
libhogweed6:arm64	3.8.1-2
libhwy1:arm64	1.0.3-3+deb12u1
libice6:arm64	2:1.0.10-1
libicu72:arm64	72.1-3+deb12u1
libid3tag0:arm64	0.15.1b-14
libidn12:arm64	1.41-1
libidn2-0:arm64	2.3.3-1+b1
libijs-0.35:arm64	0.35-15
libimagequant0:arm64	2.17.0-1
libimlib2:arm64	1.10.0-4+deb12u1
libip4tc2:arm64	1.8.9-2
libjbig0:arm64	2.1-6.1
libjbig2dec0:arm64	0.19-3
libjpeg62-turbo:arm64	1:2.1.5-2
libjs-jquery	3.6.1+dfsg+~3.5.14-1
libjs-sphinxdoc	5.3.0-4
libjs-underscore	1.13.4~dfsg+~1.11.4-3
libjson-c5:arm64	0.16-2
libjxl0.7:arm64	0.7.0-10+deb12u1
libk5crypto3:arm64	1.20.1-2+deb12u5
libkeyutils1:arm64	1.6.3-2
libkmod2:arm64	30+20221128-1
libkrb5-3:arm64	1.20.1-2+deb12u5
libkrb5support0:arm64	1.20.1-2+deb12u5
liblapack3:arm64	3.11.0-2
liblcms2-2:arm64	2.14-2+deb12u1
liblerc4:arm64	4.0.0+ds-2
libllvm15:arm64	1:15.0.6-4+b1
liblz4-1:arm64	1.9.4-1
liblzma5:arm64	5.4.1-1+deb12u1
liblzo2-2:arm64	2.10-2
libmd0:arm64	1.0.4-2
libminizip1:arm64	1.1-8+deb12u1
libmount1:arm64	2.38.1-5+deb12u3
libmp3lame0:arm64	3.100-6
libmpg123-0:arm64	1.31.2-1+deb12u1
libncursesw6:arm64	6.4-4
libnettle8:arm64	3.8.1-2
libnghttp2-14:arm64	1.52.0-1+deb12u3
libnode108:arm64	18.20.4+dfsg-1~deb12u2
libnsl-dev:arm64	1.3.0-2
libnsl2:arm64	1.3.0-2
libnspr4:arm64	2:4.35-1
libnss3:arm64	2:3.87.1-1+deb12u4
libnuma1:arm64	2.0.16-1
libobrender32v5	3.6.1-10
libobt2v5	3.6.1-10
libogg0:arm64	1.3.5-3
libopenh264-7:arm64	2.3.1+dfsg-3+deb12u2
libopenjp2-7:arm64	2.5.0-2+deb12u3
libopus0:arm64	1.3.1-3
libp11-kit0:arm64	0.24.1-2
libpam-modules:arm64	1.5.2-6+deb12u2
libpam-modules-bin	1.5.2-6+deb12u2
libpam-runtime	1.5.2-6+deb12u2
libpam-systemd:arm64	252.39-1~deb12u2
libpam0g:arm64	1.5.2-6+deb12u2
libpango-1.0-0:arm64	1.50.12+ds-1
libpangocairo-1.0-0:arm64	1.50.12+ds-1
libpangoft2-1.0-0:arm64	1.50.12+ds-1
libpangoxft-1.0-0:arm64	1.50.12+ds-1
libpaper1:arm64	1.1.29
libpcre2-8-0:arm64	10.42-1
libperl5.36:arm64	5.36.0-7+deb12u3
libpixman-1-0:arm64	0.42.2-1
libpng16-16:arm64	1.6.39-2+deb12u5
libproc2-0:arm64	2:4.0.2-3
libpsl5:arm64	0.21.2-1
libpulse0:arm64	16.1+dfsg1-2+b1
libpython3-dev:arm64	3.11.2-1+b1
libpython3-stdlib:arm64	3.11.2-1+b1
libpython3.11:arm64	3.11.2-6+deb12u8
libpython3.11-dev:arm64	3.11.2-6+deb12u8
libpython3.11-minimal:arm64	3.11.2-6+deb12u8
libpython3.11-stdlib:arm64	3.11.2-6+deb12u8
libraqm0:arm64	0.7.0-4.1
libreadline8:arm64	8.2-1.3
librsvg2-2:arm64	2.54.7+dfsg-1~deb12u1
libsasl2-2:arm64	2.1.28+dfsg-10
libsasl2-modules-db:arm64	2.1.28+dfsg-10
libseccomp2:arm64	2.5.4-1+deb12u1
libselinux1:arm64	3.4-1+b6
libsemanage-common	3.4-1
libsemanage2:arm64	3.4-1+b5
libsensors-config	1:3.6.0-7.1
libsensors5:arm64	1:3.6.0-7.1
libsepol2:arm64	3.4-2.1
libsm6:arm64	2:1.2.3-1
libsmartcols1:arm64	2.38.1-5+deb12u3
libsndfile1:arm64	1.2.0-1+deb12u1
libspectre1:arm64	0.2.12-1
libsqlite3-0:arm64	3.40.1-2+deb12u2
libss2:arm64	1.47.0-2+b2
libssl3:arm64	3.0.20-1~deb12u2
libstartup-notification0:arm64	0.12-6+b1
libstdc++6:arm64	12.2.0-14+deb12u1
libsystemd-shared:arm64	252.39-1~deb12u2
libsystemd0:arm64	252.39-1~deb12u2
libtasn1-6:arm64	4.19.0-2+deb12u1
libtcl8.6:arm64	8.6.13+dfsg-2
libthai-data	0.1.29-1
libthai0:arm64	0.1.29-1
libtiff6:arm64	4.5.0-6+deb12u4
libtinfo6:arm64	6.4-4
libtirpc-common	1.3.3+ds-1
libtirpc-dev:arm64	1.3.3+ds-1
libtirpc3:arm64	1.3.3+ds-1
libtk8.6:arm64	8.6.13-2
libudev1:arm64	252.39-1~deb12u2
libunistring2:arm64	1.0-2
libunwind8:arm64	1.6.2-3
libuuid1:arm64	2.38.1-5+deb12u3
libuv1:arm64	1.44.2-1+deb12u1
libvncclient1:arm64	0.9.14+dfsg-1+deb12u2
libvncserver1:arm64	0.9.14+dfsg-1+deb12u2
libvorbis0a:arm64	1.3.7-1
libvorbisenc2:arm64	1.3.7-1
libwayland-client0:arm64	1.21.0-1
libwayland-cursor0:arm64	1.21.0-1
libwayland-egl1:arm64	1.21.0-1
libwayland-server0:arm64	1.21.0-1
libwebp7:arm64	1.2.4-0.2+deb12u1
libwebpdemux2:arm64	1.2.4-0.2+deb12u1
libwebpmux3:arm64	1.2.4-0.2+deb12u1
libx11-6:arm64	2:1.8.4-2+deb12u2
libx11-data	2:1.8.4-2+deb12u2
libx11-xcb1:arm64	2:1.8.4-2+deb12u2
libx265-199:arm64	3.5-2+b1
libxau6:arm64	1:1.0.9-1
libxaw7:arm64	2:1.0.14-1
libxcb-dri2-0:arm64	1.15-1
libxcb-dri3-0:arm64	1.15-1
libxcb-glx0:arm64	1.15-1
libxcb-present0:arm64	1.15-1
libxcb-randr0:arm64	1.15-1
libxcb-render0:arm64	1.15-1
libxcb-shape0:arm64	1.15-1
libxcb-shm0:arm64	1.15-1
libxcb-sync1:arm64	1.15-1
libxcb-util1:arm64	0.4.0-1+b1
libxcb-xfixes0:arm64	1.15-1
libxcb1:arm64	1.15-1
libxcomposite1:arm64	1:0.4.5-1
libxcursor1:arm64	1:1.2.1-1
libxdamage1:arm64	1:1.1.6-1
libxdmcp6:arm64	1:1.1.2-3
libxext6:arm64	2:1.3.4-1+b1
libxfixes3:arm64	1:6.0.0-2
libxfont2:arm64	1:2.0.6-1+deb12u1
libxft2:arm64	2.3.6-1
libxi6:arm64	2:1.8-1+b1
libxinerama1:arm64	2:1.1.4-3
libxkbcommon0:arm64	1.5.0-1
libxkbfile1:arm64	1:1.1.0-1
libxml2:arm64	2.9.14+dfsg-1.3~deb12u6
libxmu6:arm64	2:1.1.3-3
libxmuu1:arm64	2:1.1.3-3
libxnvctrl0:arm64	525.85.05-3~deb12u1
libxpm4:arm64	1:3.5.12-1.1+deb12u1
libxrandr2:arm64	2:1.5.2-2+b1
libxrender1:arm64	1:0.9.10-1.1
libxshmfence1:arm64	1.3-1
libxss1:arm64	1:1.2.3-1
libxt6:arm64	1:1.2.1-1.1
libxtst6:arm64	2:1.2.3-1.1
libxv1:arm64	2:1.0.11-1.1
libxxf86dga1:arm64	2:1.1.5-1
libxxf86vm1:arm64	1:1.1.4-1+b2
libxxhash0:arm64	0.8.1-1
libyaml-0-2:arm64	0.2.5-1
libz3-4:arm64	4.8.12-3.1
libzstd1:arm64	1.5.4+dfsg2-5
linux-libc-dev:arm64	6.1.187-1
login	1:4.13+dfsg1-1+deb12u2
logsave	1.47.0-2+b2
mailcap	3.70+nmu1
mawk	1.3.4.20200120-3.1
media-types	10.0.0
mime-support	3.66
mount	2.38.1-5+deb12u3
ncurses-base	6.4-4
ncurses-bin	6.4-4
net-tools	2.10-0.1+deb12u2
node-acorn	8.8.1+ds+~cs25.17.7-2
node-busboy	1.6.0+~cs2.6.0-2
node-cjs-module-lexer	1.2.2+dfsg-5
node-undici	5.15.0+dfsg1+~cs20.10.9.3-1+deb12u4
node-xtend	4.0.2-3
nodejs	18.20.4+dfsg-1~deb12u2
novnc	1:1.3.0-1
openbox	3.6.1-10
openssl	3.0.20-1~deb12u2
passwd	1:4.13+dfsg1-1+deb12u2
perl	5.36.0-7+deb12u3
perl-base	5.36.0-7+deb12u3
perl-modules-5.36	5.36.0-7+deb12u3
poppler-data	0.4.12-1
procps	2:4.0.2-3
python3	3.11.2-1+b1
python3-certifi	2022.9.24-1
python3-cffi-backend:arm64	1.15.1-5+b1
python3-chardet	5.1.0+dfsg-2
python3-charset-normalizer	3.0.1-2
python3-cryptography	38.0.4-3+deb12u1
python3-dateutil	2.8.2-2
python3-debtcollector	2.5.0-2
python3-deprecated	1.2.13-3
python3-dev	3.11.2-1+b1
python3-distutils	3.11.2-3
python3-docutils	0.19+dfsg-6
python3-idna	3.3-1+deb12u1
python3-importlib-metadata	4.12.0-1
python3-iso8601	1.0.2-1
python3-jwcrypto	1.1.0-1+deb12u1
python3-lib2to3	3.11.2-3
python3-minimal	3.11.2-1+b1
python3-more-itertools	8.10.0-2
python3-msgpack	1.0.3-2+b1
python3-netaddr	0.8.0-2
python3-netifaces:arm64	0.11.0-2+b1
python3-novnc	1:1.3.0-1
python3-numpy	1:1.24.2-1+deb12u1
python3-oslo.config	1:9.0.0-3
python3-oslo.context	5.0.0-2
python3-oslo.i18n	5.1.0-3
python3-oslo.log	5.0.1-1
python3-oslo.serialization	5.0.0-2
python3-oslo.utils	6.0.1-2
python3-packaging	23.0-1
python3-pbr	5.10.0-2
python3-pil:arm64	9.4.0-1.1+deb12u1
python3-pip-whl	23.0.1+dfsg-1
python3-pkg-resources	66.1.1-1+deb12u2
python3-pyinotify	0.9.6-2
python3-pyparsing	3.0.9-1
python3-requests	2.28.1+dfsg-1
python3-rfc3986	1.5.0-2
python3-roman	3.3-3
python3-setuptools	66.1.1-1+deb12u2
python3-setuptools-whl	66.1.1-1+deb12u2
python3-six	1.16.0-4
python3-stevedore	4.0.2-2
python3-tk:arm64	3.11.2-3
python3-tz	2022.7.1-4
python3-urllib3	1.26.12-1+deb12u4
python3-venv	3.11.2-1+b1
python3-websockify	0.10.0+dfsg1-4+b1
python3-wrapt	1.14.1-2+b2
python3-yaml	6.0-3+b2
python3-zipp	1.0.0-6+deb12u1
python3.11	3.11.2-6+deb12u8
python3.11-dev	3.11.2-6+deb12u8
python3.11-minimal	3.11.2-6+deb12u8
python3.11-venv	3.11.2-6+deb12u8
readline-common	8.2-1.3
rpcsvc-proto	1.4.3-1
scrot	1.8.1-1
sed	4.9-1+deb12u1
sensible-utils	0.0.17+nmu1
sgml-base	1.31
shared-mime-info	2.2-1
systemd	252.39-1~deb12u2
systemd-sysv	252.39-1~deb12u2
sysvinit-utils	3.06-4
tar	1.34+dfsg-1.2+deb12u1
tcl	8.6.13
tcl8.6	8.6.13+dfsg-2
tk	8.6.13
tk8.6	8.6.13-2
tk8.6-blt2.5	2.5.3+dfsg-4.1
tzdata	2026b-0+deb12u1
ucf	3.0043+nmu1+deb12u1
usr-is-merged	37~deb12u1
util-linux	2.38.1-5+deb12u3
util-linux-extra	2.38.1-5+deb12u3
websockify	0.10.0+dfsg1-4+b1
wget	1.21.3-1+deb12u1
x11-common	1:7.7+23
x11-utils	7.7+5
x11-xkb-utils	7.7+7
x11vnc	0.9.16-9
xauth	1:1.1.2-1
xdg-utils	1.1.3-4.1
xfonts-encodings	1:1.0.4-2.2
xfonts-utils	1:7.7+6
xkb-data	2.35.1-1
xml-core	0.18+nmu1
xserver-common	2:21.1.7-3+deb12u13
xvfb	2:21.1.7-3+deb12u13
zlib1g:arm64	1:1.2.13.dfsg-1
zlib1g-dev:arm64	1:1.2.13.dfsg-1
